SALARY & CONTRIBUTION PROJECTION — Year-by-Year (Age 28 to 60),,,,,,,,,,,,,
All values in ?. Salary grows at ASSUMPTIONS salary-growth rate. Contributions = % of basic. Linked to CORPUS_BUILD sheet.,,,,,,,,,,,,,
Year,Age,Annual CTC (?),Basic Salary p.a. (?),Basic / Month (?),EPF Emp (?/mo),EPF Empr (?/mo),EPF Total (?/mo),NPS Emp (?/mo),NPS Empr (?/mo),WeCare Contrib (?/mo),ELSS SIP (?/mo),Income Tax (?/mo),Net Take-Home (?/mo)
1,28,"2,000,000","800,000","66,667","8,000","8,000","16,000","3,333","6,667","6,667","10,000","33,333","105,333"
2,29,"2,160,000","864,000","72,000","8,640","8,640","17,280","3,600","7,200","7,200","11,000","36,000","113,560"
3,30,"2,332,800","933,120","77,760","9,331","9,331","18,662","3,888","7,776","7,776","12,100","38,880","122,425"
4,31,"2,519,424","1,007,770","83,981","10,078","10,078","20,155","4,199","8,398","8,398","13,310","41,990","131,977"
5,32,"2,720,978","1,088,391","90,699","10,884","10,884","21,768","4,535","9,070","9,070","14,641","45,350","142,269"
6,33,"2,938,656","1,175,462","97,955","11,755","11,755","23,509","4,898","9,796","9,796","16,105","48,978","153,357"
7,34,"3,173,749","1,269,499","105,792","12,695","12,695","25,390","5,290","10,579","10,579","17,716","52,896","165,304"
8,35,"3,427,649","1,371,059","114,255","13,711","13,711","27,421","5,713","11,425","11,425","19,487","57,127","178,174"
9,36,"3,701,860","1,480,744","123,395","14,807","14,807","29,615","6,170","12,340","12,340","21,436","61,698","192,038"
10,37,"3,998,009","1,599,204","133,267","15,992","15,992","31,984","6,663","13,327","13,327","23,579","66,633","206,972"
11,38,"4,317,850","1,727,140","143,928","17,271","17,271","34,543","7,196","14,393","14,393","25,937","71,964","223,059"
12,39,"4,663,278","1,865,311","155,443","18,653","18,653","37,306","7,772","15,544","15,544","28,531","77,721","240,385"
13,40,"5,036,340","2,014,536","167,878","20,145","20,145","40,291","8,394","16,788","16,788","31,384","83,939","259,045"
14,41,"5,439,247","2,175,699","181,308","21,757","21,757","43,514","9,065","18,131","18,131","34,523","90,654","279,141"
15,42,"5,874,387","2,349,755","195,813","23,498","23,498","46,995","9,791","19,581","19,581","37,975","97,906","300,781"
16,43,"6,344,338","2,537,735","211,478","25,377","25,377","50,755","10,574","21,148","21,148","41,772","105,739","324,084"
17,44,"6,851,885","2,740,754","228,396","27,408","27,408","54,815","11,420","22,840","22,840","45,950","114,198","349,176"
18,45,"7,400,036","2,960,014","246,668","29,600","29,600","59,200","12,333","24,667","24,667","50,545","123,334","376,191"
19,46,"7,992,039","3,196,816","266,401","31,968","31,968","63,936","13,320","26,640","26,640","55,599","133,201","405,275"
20,47,"8,631,402","3,452,561","287,713","34,526","34,526","69,051","14,386","28,771","28,771","61,159","143,857","436,585"
21,48,"9,321,914","3,728,766","310,730","37,288","37,288","74,575","15,537","31,073","31,073","67,275","155,365","470,289"
22,49,"10,067,667","4,027,067","335,589","40,271","40,271","80,541","16,779","33,559","33,559","74,002","167,794","506,566"
23,50,"10,873,081","4,349,232","362,436","43,492","43,492","86,985","18,122","36,244","36,244","81,403","181,218","545,612"
24,51,"11,742,927","4,697,171","391,431","46,972","46,972","93,943","19,572","39,143","39,143","89,543","195,715","587,632"
25,52,"12,682,361","5,072,945","422,745","50,729","50,729","101,459","21,137","42,275","42,275","98,497","211,373","632,852"
26,53,"13,696,950","5,478,780","456,565","54,788","54,788","109,576","22,828","45,657","45,657","108,347","228,283","681,510"
27,54,"14,792,706","5,917,083","493,090","59,171","59,171","118,342","24,655","49,309","49,309","119,182","246,545","733,864"
28,55,"15,976,123","6,390,449","532,537","63,904","63,904","127,809","26,627","53,254","53,254","131,100","266,269","790,190"
29,56,"17,254,213","6,901,685","575,140","69,017","69,017","138,034","28,757","57,514","57,514","144,210","287,570","850,783"
30,57,"18,634,550","7,453,820","621,152","74,538","74,538","149,076","31,058","62,115","62,115","158,631","310,576","915,961"
31,58,"20,125,314","8,050,126","670,844","80,501","80,501","161,003","33,542","67,084","67,084","174,494","335,422","986,066"
32,59,"21,735,339","8,694,136","724,511","86,941","86,941","173,883","36,226","72,451","72,451","191,943","362,256","1,061,461"
TOTAL (32 years),,"268,427,075","107,370,830","8,947,569","1,073,708","1,073,708","2,147,417","447,378","894,757","894,757","2,011,378","4,473,785","13,467,917"
